Time,X,Y,Z
0,1.1646434069,1.7026225328,0.0117524546
10,1.1646399498,1.7026299238,0.0117360428
20,-0.0000035027,-0.0000068473,-0.0000007314
30,-0.0000200108,-0.0000277856,0.1711342782
40,-0.0000404952,-0.0000605210,0.1711288393
50,0.0000148629,0.0000373786,0.0110002123
60,0.0000071502,0.0000208281,0.0109909335
70,0.0000066773,0.0000197382,0.0109807979
80,0.0000141015,0.0000407400,0.0109703429
90,0.0000024307,0.0000148285,0.0130293015
100,0.0000082032,0.0000322642,0.0130353030
110,-0.0000020671,0.0000107146,0.0130407559
120,-0.0000014229,0.0000094981,0.0130443936
130,-0.0000001481,0.0000197852,0.0134184891
140,-0.0000012179,0.0000159596,0.0134289172
150,-0.0000085892,-0.0000008270,0.0134376595
160,-0.0000116180,-0.0000026007,0.0134450188
170,-0.0000116262,-0.0000089986,0.0134515837
180,-0.0000106307,-0.0000028910,0.0136670368
190,-0.0000114342,-0.0000068355,0.0136817247
200,-0.0000145889,-0.0000199734,0.0136953434
210,-0.0000175955,-0.0000237876,0.0137088010
220,-0.0000195985,-0.0000217735,0.0126310559
230,-0.0000224423,-0.0000258521,0.0125734247
240,-0.0000251143,-0.0000303398,0.0125130797
250,-0.0000267542,-0.0000329753,0.0124502983
260,-0.0000280672,-0.0000346682,0.0123856850
270,-0.0000300829,-0.0000361456,0.0125794997
280,-0.0000323270,-0.0000411708,0.0125203794
290,-0.0000348080,-0.0000436233,0.0124641163
300,-0.0000374987,-0.0000469182,0.0124048209
310,-0.0000444538,-0.0000549216,0.0125959627
320,-0.0000437257,-0.0000487978,0.0125490567
330,-0.0000458653,-0.0000527612,0.0125010302
340,-0.0000463794,-0.0000558469,0.0124503840
350,-0.0000500308,-0.0000649013,0.0118042110
360,-0.0000522186,-0.0000687606,0.0117133353
370,-0.0000592932,-0.0000779378,0.0116215190
380,-0.0000544572,-0.0000746181,0.0115289548
390,-0.0000591653,-0.0000834382,0.0114356866
400,-0.0000600995,-0.0000884781,0.0107285930
410,-0.0000638278,-0.0000985777,0.0105994502
420,-0.0000624699,-0.0000942963,0.0104685752
430,-0.0000661322,-0.0001043453,0.0103362389
440,-0.0000615587,-0.0000853907,0.0113704624
450,-0.0000614115,-0.0000876640,0.0113025066
460,-0.0000661779,-0.0000981859,0.0112261651
471,1.3980677128,-0.3041723967,0.0111556714
481,1.2828594446,-1.1362006664,0.0110879494
490,1.2405858040,-1.6577129364,0.0122651896
500,1.2281632423,-1.8140132427,0.0122598698
510,1.2231445312,-1.8753405809,0.0122521957
520,1.2231340408,-1.8753594160,0.0122323781
530,1.2093755007,-1.5485461950,0.0117500471
540,1.2064174414,-1.6594184637,0.0117151290
550,1.2111442089,-1.6335304976,0.0116384765
560,1.2161325216,-1.7613235712,0.0116398279
572,1.2205628157,-1.7158352137,0.0117157986
580,1.2078032494,1.2415944338,0.0117541198
590,1.2121843100,1.3281528950,0.0117347380
600,1.2167510986,1.6914628744,0.0117280548
610,1.2105702162,1.7152277231,0.0117105721
620,1.2028126717,1.6969566345,0.0122307725
630,1.1994125843,1.7136949301,0.0122425193
640,1.1973381042,1.7181917429,0.0122444639
650,1.1937826872,1.7156013250,0.0122381486
660,1.1963711977,1.7059981823,0.0122277513
671,1.1962888241,1.7061131001,0.0116976527
680,1.1944056749,1.7060087919,0.0116608366
690,1.1974003315,1.7090561390,0.0116319330
700,1.1973992586,1.7090535164,0.0115917232
710,1.1974555254,1.7089407444,0.0121390251
720,1.1931763887,1.7071720362,0.0121369585
730,1.1948965788,1.7100113630,0.0121160094
740,1.1948925257,1.7100101709,0.0120998174
750,1.1949570179,1.7082667351,0.0116283512
760,1.1935358047,1.7084567547,0.0115882149
770,1.1920841932,1.7086527348,0.0115484158
780,1.1910897493,1.7087845802,0.0115067381
790,1.1914389133,1.7088838816,0.0112714740
800,1.1876169443,1.6993929148,0.0112150582
810,1.1876140833,1.6993926764,0.0111525459
820,1.1841472387,1.6916027069,0.0110894339
830,1.1863520145,1.6921063662,0.0110219410
840,1.1868166924,1.6921864748,0.0105234357
850,1.1855889559,1.6898398399,0.0104216449
860,1.1867876053,1.6906967163,0.0103225904
870,1.1859518290,1.6999897957,0.0102468198
880,1.1862272024,1.6992849112,0.0117390174
890,1.1862262487,1.6992845535,0.0117262211
900,1.1858203411,1.6977207661,0.0117054367
910,1.1858206987,1.6977207661,0.0116870850
920,1.1858208179,1.6977212429,0.0116661657
930,1.1858949661,1.6976169348,0.0134428479
940,1.1858128309,1.6981121302,0.0135108503
950,1.1859976053,1.6952813864,0.0135770896
961,1.1866118908,1.6948808432,0.0136395283
970,1.1849970818,1.6960504055,0.0134557988
980,1.1853264570,1.6961596012,0.0135139367
990,1.1842517853,1.6961820126,0.0135690942
1000,1.1816321611,1.6964985132,0.0136284297
1010,1.1816239357,1.6964887381,0.0136754010
1020,1.1816761494,1.6965012550,0.0138591928
1030,1.1818239689,1.6971812248,0.0139199318
1040,1.1814454794,1.6983646154,0.0139655434
1050,1.1829781532,1.6944217682,0.0139877703
1060,1.1829510927,1.6944265366,0.0136253694
1070,1.1829659939,1.6944559813,0.0136461165
1080,1.1829638481,1.6944566965,0.0136666624
1090,1.1819306612,1.6954079866,0.0136837000
1100,1.1819958687,1.6922904253,0.0134159019
1110,1.1819882393,1.6922793388,0.0134171965
1120,1.1820740700,1.6891082525,0.0134170661
1130,1.1817703247,1.6892071962,0.0134182153
1140,1.1818046570,1.6897498369,0.0134149371
1150,1.1818429232,1.6896580458,0.0132392505
1161,1.1830421686,1.6885952950,0.0132381180
1170,1.1839011908,1.6890974045,0.0132353771
1180,1.1824570894,1.6895984411,0.0132491412
1190,1.1823543310,1.6894432306,0.0127097499
1201,1.1823532581,1.6894425154,0.0126656946
1210,1.1819974184,1.6907573938,0.0126617057
1221,1.1834739447,1.6908609867,0.0125706634
1230,1.1825034618,1.6909426451,0.0125730932
1240,1.1832168102,1.6910815239,0.0131351659
1250,1.1836621761,1.6910549402,0.0131196314
1261,1.1836194992,1.6901210546,0.0131106460
1271,1.1836674213,1.6892590523,0.0130897276
1281,1.1836609840,1.6892213821,0.0134416111
1290,1.1836570501,1.6892169714,0.0134413028
1302,1.1838679314,1.6892404556,0.0134403519
1312,1.1839265823,1.6889553070,0.0134294117
1321,1.1851277351,1.6893266439,0.0134295989
1331,1.1856833696,1.6880803108,0.0128322393
1341,1.1873323917,1.6878287792,0.0127782878
1351,1.1869516373,1.6879733801,0.0127417129
1362,1.1869460344,1.6879625320,0.0126524633
1371,1.1869598627,1.6879788637,0.0136239026
1382,1.1869564056,1.6879738569,0.0136344787
1391,1.1854557991,1.6868795156,0.0136680547
1401,1.1850025654,1.6881833076,0.0136895794
1411,1.1849972010,1.6881700754,0.0138182985
1421,1.1853905916,1.6888058186,0.0138332704
1430,1.1847995520,1.6890330315,0.0138535658
1441,1.1844855547,1.6891362667,0.0138755431
1453,1.1839888096,1.6885290146,0.0123914424
1462,1.1840721369,1.6884915829,0.0123132858
1470,1.1849461794,1.6893187761,0.0122453114
1481,1.1847208738,1.6888229847,0.0121698538
1490,1.1847127676,1.6888121367,0.0120929480
1500,1.1848206520,1.6890224218,0.0124240508
1510,1.1844367981,1.6881158352,0.0123729873
1522,1.1839350462,1.6870832443,0.0123262526
1530,1.1833467484,1.6871987581,0.0122732185
1540,1.1826024055,1.6864311695,0.0122331977
1552,1.1825436354,1.6871395111,0.0129141621
1560,1.1828067303,1.6870977879,0.0128901666
1571,1.1826137304,1.6872092485,0.0128693124
1580,1.1811721325,1.6875503063,0.0128542529
1591,1.1814681292,1.6873650551,0.0129009979
1601,1.1815599203,1.6873257160,0.0128779579
1610,1.1822161674,1.6875085831,0.0128626758
1620,1.1825577021,1.6876305342,0.0128433593
1630,1.1813938618,1.6873296499,0.0128291911
1640,1.1808215380,1.6874146461,0.0124648381
1650,1.1815969944,1.6874773502,0.0124228494
1660,1.1808315516,1.6888630390,0.0123859737
1670,1.1808404922,1.6888412237,0.0123392753
1680,1.1808079481,1.6888388395,0.0113276662
1690,1.1804450750,1.6889805794,0.0112272259
1700,1.1805199385,1.6890388727,0.0111199375
1710,1.1806584597,1.6894510984,0.0110126892
1720,1.1808394194,1.6905487776,0.0109471250
1730,1.1796467304,1.6904193163,0.0108381147
1740,1.1790438890,1.6922723055,0.0107328687
1750,1.1781965494,1.6925446987,0.0106237875
1760,1.1779572964,1.6926362514,0.0105057033
1770,1.1780073643,1.6926213503,0.0118527738
1780,1.1777069569,1.6926530600,0.0118083796
1790,1.1780086756,1.6920019388,0.0117587084
1800,1.1780073643,1.6919972897,0.0117134629
1810,1.1772549152,1.6917068958,0.0118263215
1820,1.1779878139,1.6917777061,0.0117910374
1830,1.1780259609,1.6919839382,0.0117616430
1840,1.1779261827,1.6920206547,0.0117250104
1850,1.1779853106,1.6908529997,0.0116843227
1860,1.1779959202,1.6909857988,0.0126231145
1870,1.1777331829,1.6913977861,0.0126394955
1880,1.1777327061,1.6913949251,0.0126496144
1890,1.1772738695,1.6920794249,0.0126649057
1900,1.1773936749,1.6920220852,0.0136423549
1910,1.1777421236,1.6915583611,0.0137078054
1920,1.1777851582,1.6914827824,0.0137630897
1930,1.1778563261,1.6901030540,0.0138209201
1940,1.1771148443,1.6884175539,0.0139015317
1950,1.1771150827,1.6884171963,0.0139987553
1960,1.1770161390,1.6890821457,0.0140657555
1970,1.1769430637,1.6891891956,0.0141243301
1980,1.1764851809,1.6881437302,0.0141890235
1990,1.1763356924,1.6882408857,0.0137552796
2000,1.1763342619,1.6882419586,0.0137805352
2010,1.1758074760,1.6898791790,0.0138103757
2020,1.1756676435,1.6899312735,0.0138331261
2030,1.1756422520,1.6906890869,0.0138506964
2040,1.1755721569,1.6909024715,0.0135011571
2050,1.1755043268,1.6905792952,0.0134758130
2060,1.1752151251,1.6906613111,0.0134678492
2070,1.1753087044,1.6906501055,0.0134548591
2080,1.1762259007,1.6907340288,0.0132436659
2090,1.1763176918,1.6906933784,0.0132162757
2100,1.1761654615,1.6907507181,0.0131917270
2110,1.1761645079,1.6907460690,0.0131627573
2120,1.1761673689,1.6907387972,0.0134699252
2130,1.1761696339,1.6912109852,0.0134673053
2140,1.1767115593,1.6925705671,0.0134631144
2150,1.1763027906,1.6920876503,0.0134644238
2160,1.1759729385,1.6927354336,0.0134636257
2170,1.1760171652,1.6916297674,0.0133688012
2180,1.1763873100,1.6924040318,0.0156359784
2190,1.1766220331,1.6942086220,0.0143565806
2200,1.1786956787,1.6949167252,0.0094771395
2210,1.1811970472,1.6961230040,0.0032579056
2220,1.1823693514,1.6959242821,0.0107736057
2230,1.1817845106,1.6938643456,0.0185874552
2240,1.1823623180,1.6926090717,0.0174176451
2250,1.1801483631,1.6906602383,0.0148170125
2260,1.1786446571,1.6911282539,0.0149171082
2271,1.1798899174,1.6933490038,0.0231481101
2280,1.1803076267,1.6934741735,0.0245222002
2290,1.1783605814,1.6901112795,0.0409989096
2300,1.1780641079,1.6906126738,0.0396656059
2310,1.1773170233,1.6905715466,0.0437024646
2320,1.1768633127,1.6901614666,0.0464854017
2330,1.1770185232,1.6897945404,0.0483128689
2340,1.1770743132,1.6896637678,0.0376518145
2350,1.1768690348,1.6905689240,0.0386507176
2360,1.1767200232,1.6902164221,0.0396059826
2370,1.1765704155,1.6899001598,0.0405596197
2380,1.1770244837,1.6899175644,0.0416216329
2390,1.1773464680,1.6901381016,0.0315447077
2400,1.1769073009,1.6894896030,0.0320076160
2410,1.1768994331,1.6893552542,0.0325138345
2420,1.1766452789,1.6897255182,0.0330360867
2430,1.1757538319,1.6912819147,0.0256974027
2440,1.1754642725,1.6915876865,0.0259704888
2450,1.1758499146,1.6917910576,0.0262193717
2460,1.1761460304,1.6917756796,0.0263908803
2471,1.1758915186,1.6918256283,0.0203648917
2480,1.1760249138,1.6918041706,0.0202888940
2490,1.1758223772,1.6918213367,0.0201490186
2500,1.1761374474,1.6903355122,0.0199891590
2510,1.1759383678,1.6902195215,0.0199349001
2520,1.1760385036,1.6906242371,0.0175044779
2530,1.1757452488,1.6905146837,0.0174427629
2540,1.1758865118,1.6900439262,0.0174698122
2550,1.1767431498,1.6913158894,0.0176098198
2560,1.1764831543,1.6915950775,0.0148553215
2570,1.1762967110,1.6912022829,0.0149351023
2580,1.1770290136,1.6906496286,0.0147671970
2590,1.1778358221,1.6891753674,0.0141263083
2600,1.1784479618,1.6888592243,0.0134831350
2610,1.1785809994,1.6889895201,0.0125269592
2620,1.1786531210,1.6892950535,0.0125336144
2630,1.1786835194,1.6897215843,0.0121686356
2640,1.1788766384,1.6898487806,0.0115411468
2650,1.1793793440,1.6903667450,0.0139492759
2660,1.1799306870,1.6906765699,0.0138809336
2670,1.1801764965,1.6911633015,0.0145204915
2680,1.1793217659,1.6902841330,0.0174398702
2690,1.1786618233,1.6904911995,0.0175926127
2700,1.1812270880,1.6887497902,0.0253288336
2710,1.1823846102,1.6884788275,0.0243887622
2720,1.1818487644,1.6878583431,0.0317301415
2730,1.1834590435,1.6866273880,0.0308076888
2740,1.1818395853,1.6869586706,0.0253796782
2750,1.1805218458,1.6878520250,0.0247828253
2760,1.1821104288,1.6888604164,0.0275568534
2770,1.1819301844,1.6901289225,0.0262144823
2780,1.1819928885,1.6902219057,0.0273917299
2790,1.1811921597,1.6900619268,0.0159725863
2800,1.1793333292,1.6892938614,0.0163138974
2810,1.1764689684,1.6819475889,0.0149197923
2820,1.1753889322,1.6823617220,0.0320096165
2830,1.1734305620,1.6833233833,0.0306736715
2840,1.1729650497,1.6840425730,0.0345231965
2850,1.1710946560,1.6845092773,0.0330364108
2860,1.1714640856,1.6849770546,0.0395551808
2870,1.1685670614,1.6859862804,0.0381918326
2880,1.1675612926,1.6873894930,0.0232208781
2890,1.1651530266,1.6883430481,0.0200878363
2900,1.1648110151,1.6879400015,0.0302242376
2910,1.1645207405,1.6898056269,0.0282942262
2920,1.1633114815,1.6909444332,0.0180751700
2930,1.1620391607,1.6909638643,0.0204163399
2940,1.1617823839,1.6888384819,0.0276849139
2950,1.1639863253,1.6857959032,0.0221759249
2960,1.1571048498,1.6859127283,0.0293481965
2970,1.1568639278,1.6861951351,0.0482660457
2980,1.1560026407,1.6850473881,0.0490675904
2990,1.1576772928,1.6844264269,0.0524224006
3000,1.1585649252,1.6846522093,0.0527422652
3010,1.1605174541,1.6859583855,0.0352784656
3020,1.1668845415,1.6857970953,0.0220473241
3030,1.1671347618,1.6863787174,0.0201414265
3040,1.1674667597,1.6874315739,0.0234891791
3050,1.1689478159,1.6877158880,0.0157483369
3060,1.1696788073,1.6887145042,0.0163275916
3070,1.1717077494,1.6884186268,0.0145361973
3080,1.1721725464,1.6917440891,0.0121412110
3090,1.1750086546,1.6922695637,0.0148860337
3100,1.1789628267,1.6920145750,0.0147514315
3110,1.1828470230,1.6932501793,0.0118920151
3120,1.1863960028,1.6931874752,0.0160405133
3130,1.1887617111,1.6941109896,0.0152743869
3140,1.1903147697,1.6946796179,0.0187766738
3150,1.1941500902,1.6956671476,0.0193447433
3160,1.1949448586,1.6986688375,0.0224014800
3170,1.1983029842,1.6980615854,0.0233175475
3180,1.1984467506,1.6979438066,0.0220974889
3190,1.2001515627,1.6986978054,0.0237497482
3200,1.2001563311,1.6980046034,0.0239635017
3210,1.1992684603,1.6983133554,0.0229996331
3220,1.1990249157,1.6982258558,0.0228014365
3230,1.2038420439,1.6988122463,0.0334433690
3240,1.2042808533,1.6982156038,0.0377223715
3250,1.2043417692,1.6980545521,0.0406869650
3260,1.2035994530,1.7003965378,0.0434752218
3270,1.2027497292,1.7012469769,0.0408779830
3280,1.2026253939,1.7012224197,0.0443941541
3290,1.2025414705,1.7014418840,0.0471409373
3300,1.2023108006,1.7012495995,0.0491545908
3310,1.2053835392,1.7014238834,0.0556003228
3320,1.2040382624,1.7085711956,0.0700301677
3330,1.2051391602,1.7092649937,0.0830493495
3340,1.2047637701,1.7087910175,0.0928973705
3350,1.2059639692,1.7098358870,0.0972044393
3360,1.2065676451,1.7070852518,0.0979089364
3370,1.2075655460,1.7045885324,0.0997087210
3380,1.2062617540,1.7126119137,0.1225393265
3390,1.2048051357,1.7149709463,0.1356060058
3400,1.2035331726,1.7160972357,0.1397424489
3410,1.2050961256,1.7135602236,0.1216978580
3420,1.2050144672,1.7126530409,0.1239566207
3430,1.2034286261,1.7118130922,0.1250337213
3440,1.2036031485,1.7115069628,0.1279008836
3450,1.2063767910,1.7098258734,0.1142764539
3460,1.2059811354,1.7079395056,0.1129769832
3470,1.2082501650,1.7053220272,0.1150363311
3480,1.2079819441,1.7054919004,0.1165900454
3490,1.2093374729,1.7046587467,0.1016952693
3500,1.2095777988,1.7039270401,0.1011190936
3510,1.2092747688,1.7042342424,0.1024315730
3520,1.2079050541,1.7001532316,0.1012094691
3530,1.2072468996,1.7005876303,0.1073331088
3540,1.2078503370,1.7031143904,0.0967041701
3550,1.2069264650,1.7025563717,0.0959390700
3560,1.2063070536,1.7014687061,0.0948830321
3570,1.2055219412,1.7034801245,0.0963107944
